"ALL","SEMUA"
"ANY","SEADANYA"
"Add","Tambah"
"Apply","Terapkan"
"Description: %s","Deskripsi: %s"
"Expire at: %s","Kadaluarsa pada: %s"
"FALSE","SALAH"
"If %s of these conditions are %s:","Jika kondisi %s adalah %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Nama: %s"
"Open Chooser","Buka Pilihan"
"Perform following actions","Lakukan Aksi Berikut"
"Please choose a condition to add...","Tolong pilih sebuah kondisi untuk ditambahkan..."
"Please choose an action to add...","Tolong pilih sebuah aksi untuk ditambahkan..."
"Remove","Buang"
"Start at: %s","Dimulai pada: %s"
"TRUE","BENAR"
"by","Berdasarkan"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","Sampai"
